Width,Height,Weight
4.02,11.52,242.0
4.3056,12.48,290.0
4.6961,12.3778,340.0
4.4555,12.73,363.0
5.1339999999999995,12.444,430.0
4.9274,13.6024,450.0
5.2785,14.1795,500.0
4.69,12.67,390.0
4.8438,14.0049,450.0
4.9594,14.2266,500.0
5.1042,14.2628,475.0
4.8146,14.3714,500.0
4.368,13.7592,500.0
5.0728,13.9129,340.0
5.1708,14.9544,600.0
5.58,15.437999999999999,600.0
5.2854,14.8604,700.0
5.1975,14.937999999999999,700.0
5.1338,15.633,610.0
5.7276,14.4738,650.0
5.5695,15.1285,575.0
5.3704,15.9936,685.0
5.2801,15.5227,620.0
6.1306,15.4686,680.0
5.5889999999999995,16.2405,700.0
6.0532,16.36,725.0
6.09,16.3618,720.0
5.8515,16.517,714.0
6.1984,16.8896,850.0
6.603,18.957,1000.0
6.3063,18.0369,920.0
6.292000000000001,18.084,955.0
6.7497,18.7542,925.0
6.7473,18.6354,975.0
6.3705,17.6235,950.0
